ID	sentence	question	1	2	Answer
2450	가수가 무대에서 노래를 더이상 부르지 못했다.	원인	가수는 무대 도중 울음을 터뜨렸다.	가수는 무대가 끝난 후 눈물을 닦았다.	1
2451	아기가 울었다.	결과	아기를 달래주었다.	아기가 걸음마를 뗐다.	1
2452	음식을 다 태웠다.	원인	불 끄는 것을 깜빡했다.	영화가 매우 지루했다.	1
2453	껌에서 맛이 안 난다.	원인	껌을 오래 씹었다.	껌을 방금 씹기 시작했다.	1
2454	여자가 라섹 수술을 했다.	원인	여자의 시력이 좋았다.	여자의 시력이 좋지 않았다.	2
2455	젖은 머리카락에 거품이 묻어 있다.	원인	젖은 머리카락을 모두 헹구었다.	젖은 머리카락에 샴푸칠을 했다.	2
2456	모닝 커피를 마셨다.	원인	잠을 자지 못해 피곤했다.	커피를 끊었다.	1
2457	식당이 문을 닫았다.	원인	장사가 잘 되지 않았다.	식당이 유명세를 얻었다.	1
2458	방에서 벌레를 발견했다.	결과	살충제를 뿌린다.	샤워를 한다.	1
2459	그 남자는 반지를 빼서 바다에 멀리 던져버렸다.	원인	남자는 청혼을 하려고 한다.	남자는 연인과 헤어졌다.	2
2460	손으로 기름진 음식을 만졌다.	결과	손이 미끌거린다.	손에서 거품이 난다.	1
2461	여성이 당첨금을 은행에서 수령했다.	원인	여성이 복권에 당첨되었다.	여성이 복권에 당첨되지 않았다.	1
2462	남자의 목이 쉬었다.	원인	남자가 담배를 끊었다.	남자가 감기에 걸렸다.	2
2463	친구와 싸웠다.	결과	친구와 더 친해졌다.	친구와 어색해졌다.	2
2464	남자가 타야 하는 지하철이 오고 있다.	결과	남자가 택시를 놓친다.	남자가 승강장으로 뛰어 들어간다.	2
2465	비가 오는데 우산이 없다.	결과	몸이 전혀 젖지 않았다.	집까지 후다닥 뛰어갔다.	2
2466	빨간색 물감과 하얀색 물감을 섞었다.	결과	물감이 주황색이 되었다.	물감이 분홍색이 되었다.	2
2467	너무 피곤하다.	원인	충분한 휴식을 취했다.	늦게 잠들었다.	2
2468	학교 복도에서 주먹다짐이 발생했다.	결과	주먹다짐을 한 학생들에게 정학 조치가 내려졌다.	선생님들이 밥을 먹으러 나갔다.	1
2469	여자가 옻을 만졌더니, 알레르기 반응이 나타났다.	원인	여자는 옻 알레르기가 있다.	여자는 복어 알레르기가 있다.	1
2470	밀가루 반죽에 문어를 넣고 굽는다.	결과	문어찜이 완성되었다.	다코야키가 완성되었다.	2
2471	여자가 강아지 집 앞에 '개조심' 푯말을 세웠다.	원인	여자의 강아지는 사람을 좋아한다.	여자의 강아지는 사납다.	2
2472	가시거리가 짧다.	원인	하늘이 맑고 화창하다.	안개가 자욱하게 끼었다.	2
2473	플라스틱 용기가 녹았다.	원인	플라스틱 용기를 난로 위에 올려두었다.	 플라스틱 용기를 냉장고 안에 넣어두었다.	1
2474	남자가 도박에 중독되었다.	원인	남자는 자제력이 없다.	남자는 자제력이 있다.	1
2475	남자가 구속되었다.	원인	남자가 대마초를 피었다.	남자가 술을 마셨다.	1
2476	백신 주사를 맞았다.	결과	독감이 걸렸다.	독감에 걸리지 않았다.	2
2477	화재 경보기가 울렸다.	원인	저녁을 하다가 냄비를 태웠다.	촛불을 켰다.	1
2478	남자의 치아가 깨졌다.	결과	남자는 치과에 방문했다.	남자는 소아과에 방문했다.	1
2479	세차를 했다.	결과	자동차가 깨끗해졌다.	자동차가 더러워졌다.	1
2480	신문에 돋보기를 갖다 대었다.	결과	글씨가 크게 보인다.	글씨가 작게 보인다.	1
2481	아빠가 피자를 엎었다.	원인	아빠가 넘어졌다.	아빠는 넘어지지 않았다.	1
2482	회사 면접에 합격했다.	결과	회사에서 해고당했다.	취업에 성공했다.	2
2483	동굴에서 소리를 질렀다.	결과	소리가 하나도 들리지 않았다.	소리가 울려퍼졌다.	2
2484	고양이의 털을 빗겨주었다.	결과	고양이의 털이 엉켜 있다.	고양이의 털이 정돈되었다.	2
2485	작년에 입던 바지가 짧아졌다.	원인	작년보다 키가 작아졌다.	작년보다 키가 커졌다.	2
2486	손톱이 깨졌다.	원인	매니큐어를 발랐다.	실수로 망치로 손을 때렸다.	2
2487	자물쇠에 비밀번호를 입력했다.	결과	잠금 장치가 닫혔다.	잠금 장치가 열렸다.	2
2488	사과를 잘랐다.	원인	애플파이를 만든다.	파인애플파이를 만든다.	1
2489	아이의 몸에서 땀냄새가 난다.	원인	아이가 땀을 많이 흘렸다.	아이가 추운 곳에 있었다.	1
2490	강아지의 배가 흠뻑 젖었다.	원인	산책하는 도중, 시끄러운 소리가 났다.	산책하는 도중, 비가 왔다.	2
2491	강이 범람했다.	원인	폭우가 쏟아졌다.	가뭄이 일어났다.	1
2492	여름날, 차가운 물을 오랜 시간 상온에 두었다.	결과	물의 온도가 내려갔다.	물의 온도가 올라갔다.	2
2493	커피를 많이 마셨다.	결과	잠을 푹 잤다.	잠이 오지 않는다.	2
2494	비밀번호를 바꿨다.	원인	계정이 해킹되었다.	회원가입을 했다.	1
2495	여자가 남자에게 메일을 보냈다.	결과	남자의 수신함에 메일이 도착했다.	여자의 수신함에 메일이 도착했다.	1
2496	겨울날, 물을 바깥에 두었다.	결과	물이 따뜻해졌다.	물이 얼었다.	2
2497	소변이 마렵다.	원인	햄버거를 많이 먹었다.	콜라를 많이 마셨다.	2
2498	비가 내린다.	결과	여자가 우산을 폈다.	여자가 양산을 폈다.	1
2499	맨발로 모래사장에 갔다.	결과	발에 조개껍질이 밟혀서 아프다.	발가락이 짧아졌다.	1
2500	안경에 김이 꼈다.	원인	추운 곳에 있다가 따뜻한 곳에 들어왔다.	따뜻한 곳에 있다가 추운 곳으로 나왔다.	1
2501	소방대원들이 출동했다.	원인	화재가 진압되었다.	화재가 발생했다.	2
2502	귀가 먹먹하다.	원인	낮잠을 잤다.	시끄러운 콘서트장에 다녀왔다.	2
2503	택배가 도착했다.	결과	냉장고를 연다.	택배 상자를 연다.	2
2504	머리에 드라이기 바람을 쐬었다.	원인	머리를 말렸다.	머리를 감았다.	2
2505	음식이 싱겁다.	원인	음식에 소금을 넣지 않았다.	음식에 소금을 많이 넣었다.	1
2506	담배 연기가 지독했다.	결과	기침이 나왔다.	소리를 질렀다.	1
2507	남성은 칫솔에 치약을 짰다.	원인	남성은 저녁 식사를 마쳤다.	남성은 식사를 준비하는 중이다.	1
2508	스크럽으로 얼굴을 닦았다.	결과	얼굴 각질이 생겼다.	얼굴 각질이 제거되었다.	2
2509	라면을 몇 분 방치했다.	결과	라면이 꼬들꼬들했다.	라면이 불었다.	2
2510	차 보닛이 망가졌다.	원인	차를 정상 속도로 운전했다.	전신주에 차를 박았다.	2
2511	과일을 수확했다	원인	과일을 잘 골랐다	과일이 잘 익었다	2
2512	남성이 데오드란트를 바른다.	결과	겨드랑이에서 땀냄새가 나지 않는다.	겨드랑이에서 암내가 난다.	1
2513	변기가 막혔다.	결과	뚫어뻥으로 변기를 뚫었다.	청소솔로 변기를 닦았다.	1
2514	콩에 낫토균을 넣고 발효시켰다.	결과	낫토가 완성되었다.	고추장이 완성되었다.	1
2515	해외 출장이 예정되었다.	결과	보름달이 떴다.	비행기를 탔다.	2
2516	아이는 놀이기구를 탈 수 없다.	원인	아이는 놀이기구 탑승 허용 연령이 되었다.	아이는 놀이기구 탑승 허용 연령이 되지 않았다.	2
2517	수레를 밀었다.	결과	수레가 부서졌다.	수레의 바퀴가 앞으로 굴러갔다.	2
2518	적금에 가입했다.	원인	로또를 구매할 것이다.	집을 장만하려 한다.	2
2519	막대로 종을 쳤다.	결과	종이 울리는 소리가 났다.	종이 부서졌다.	1
2520	아이가 엄마의 머리를 잡아당겼다.	결과	엄마가 트림을 했다.	엄마가 미간을 찌푸렸다.	2
2521	연어가 강을 거꾸로 거슬러 올라갔다.	원인	연어는 산란기를 벗어났다.	연어의 산란기가 되었다.	2
2522	경찰차가 앞에 있는 차를 세웠다.	원인	앞에 있는 차가 교통 법규를 잘 지켰다.	앞에 있는 차가 과속을 했다.	2
2523	남자가 폐암에 걸렸다.	원인	남자는 오랫동안 담배를 폈다.	남자는 오랫동안 달리기를 했다.	1
2524	경찰은 용의자의 차를 수색했다.	원인	용의자의 차에는 아무것도 없었다.	용의자의 차에 마약이 있다는 제보가 있었다.	2
2525	내 옆에 있는 친구가 헤드폰을 꼈다.	결과	나에게 음악 소리가 들린다.	나에게 음악 소리가 들리지 않는다.	2
2526	아이가 더러운 손으로 여드름을 계속 만졌다.	결과	여드름 상처가 덧나, 흉터가 남았다.	여드름이 다 사라졌다.	1
2527	남성은 발목에 통증을 느낀다.	원인	남성은 발목에 상처가 났다.	남성은 운동을 하지 않는다.	1
2528	여성이 수프가 짜다고 느끼고 물을 추가했다.	결과	수프가 전보다 밍밍해졌다.	수프가 더 짜졌다.	1
2529	소방대원들이 출동했다.	원인	화재가 발생했다.	의료사고가 발생했다.	1
2530	남성은 보안경을 착용했다.	결과	남성의 눈에 이물질이 들어가지 않는다.	남성의 눈에 눈물이 난다.	1
2531	낮이 밤보다 길어졌다.	원인	여름이 되었다.	겨울이 되었다.	1
2532	남성은 아이의 기저귀를 갈았다.	원인	아이는 배가 고팠다.	아이가 똥을 쌌다.	2
2533	나는 길을 잃었다.	결과	지도를 펼쳤다.	현금을 꺼내 셌다.	1
2534	비가 그쳤다.	결과	우산을 썼다.	우산을 접었다.	2
2535	친구의 생일파티에 초대를 받았다.	결과	친구의 집을 방문했다.	친구의 이사를 도왔다.	1
2536	한동안 비가 오지 않았다.	결과	강수량이 높다.	가뭄이 들었다.	2
2537	여자는 기차를 타지 못했다.	원인	여자는 기차표를 잃어버렸다.	여자는 비행기표를 잃어버렸다.	1
2538	여성은 국어 선생님이다.	결과	여성은 국어를 가르친다.	여성은 과학을 가르친다.	1
2539	택배 상자를 열었다.	원인	택배가 도착했다.	택배를 반송했다.	1
2540	후라이팬에 기름을 둘렀다.	결과	생선을 튀겼다.	책을 뒤집었다.	1
2541	친구가 늦게 왔다.	결과	영화 시간에 늦었다.	영화 시간보다 빨리 도착했다.	1
2542	길을 걷다가 넘어졌다.	결과	무릎에 멍이 들었다.	건물이 쓰러졌다.	1
2543	남자가 라식수술을 했다.	결과	남자의 눈이 좋아졌다.	남자의 눈이 나빠졌다.	1
2544	고속도로에 차가 많다.	결과	약속 장소에 늦게 도착했다.	약속 장소에 일찍 도착했다.	1
2545	몸이 피곤하다. 	원인	오늘 새벽에 일찍 일어났다. 	어제 푹 쉬었다.	1
2546	과자를 깔고 앉았다.	결과	과자가 부스러졌다.	과자가 단단해졌다.	1
2547	유물이 많이 손상되었다.	결과	유물 복원 작업을 시작했다.	복제된 유물 전시를 시작했다.	1
2548	따뜻한 물에 얼음을 넣었다.	결과	얼음이 손가락에 달라 붙었다.	얼음이 녹았다.	2
2549	블루투스 이어폰 연결이 해제되었다.	원인	블루투스를 껐다.	블루투스를 켰다.	1
2550	남자가 술을 마시고 운전을 하다가 경찰에 걸렸다.	결과	남자의 운전면허가 정지되었다.	남자가 차를 몰고 집으로 돌아 갔다.	1
2551	나는 번지점프를 할 수 없다.	원인	나는 고소공포증이 있다.	나는 폐소공포증이 있다.	1
2552	추운 겨울에 롱패딩을 입었다.	결과	추위를 견딜 만하다.	더위를 견딜 만하다.	1
2553	방 안의 공기가 따뜻해졌다.	원인	벽난로를 틀었다.	선풍기를 틀었다.	1
2554	공원에 산책을 나갔다.	결과	이웃을 만났다.	시험을 봤다.	1
2555	지갑을 잃어버렸다.	원인	지하철에 지갑을 두고 내렸다.	지갑을 새로 구매했다.	1
2556	화장실에 습기가 찼다.	원인	뜨거운 물로 샤워를 했다.	화장실을 리모델링했다.	1
2557	머리를 빗었다.	원인	머리가 찰랑거린다.	머리가 엉켰다.	2
2558	정원 잔디가 길다.	결과	정원사가 잔디를 잘랐다.	잔디에 물을 주었다.	1
2559	손에서 피가 난다.	원인	진달래에 손을 가져다 댔다.	선인장에 손을 가져다 댔다.	2
2560	새가 날지 못한다.	원인	새의 다친 날개가 치유되었다.	새의 날개가 부러졌다.	2
2561	맷돌에 콩을 넣고 맷돌 손잡이를 돌렸다.	결과	콩이 딱딱하게 굳었다.	콩이 갈려 나왔다.	2
2562	주현이가 공인회계사 시험 공부를 하고 있다.	원인	주현이는 변호사가 되려고 한다.	주현이는 회계사가 되려고 한다.	2
2563	짜장면이 불었다.	원인	짜장면을 오랫동안 먹지 않았다.	짜장면을 다 먹었다.	1
2564	철을 가열했다.	결과	철이 구부러졌다.	유리가 깨졌다.	1
2565	의자 다리가 부러졌다.	원인	의자를 조립했다.	의자 위에 너무 무거운 물건을 올렸다.	2
2566	고양이가 죽었다.	원인	고양이가 간식을 먹었다.	고양이가 독약을 먹었다.	2
2567	빵 반죽에 이스트를 넣었다.	결과	반죽이 묽어졌다.	반죽이 부풀어 올랐다.	2
2568	여자의 귀에 외이도염이 생겼다.	결과	염증 치료를 받았다.	염증이 다 나았다.	1
2569	여자가 떡을 샀다.	결과	여자가 순대를 만들었다.	여자가 떡볶이를 만들었다.	2
2570	운전자가 브레이크를 밟았다.	원인	신호등이 빨간불이다.	신호등이 초록불이다.	1
2571	휴대폰 진동이 울린다.	원인	휴대폰에 전화가 왔다.	휴대폰 배터리가 방전되었다.	1
2572	빨래를 건조대에서 내렸다.	원인	빨래가 다 건조되었다.	빨래를 세탁기에 넣었다.	1
2573	선물상자를 리본으로 포장했다.	원인	상자에 선물을 전부 다 담았다.	편지를 다 작성했다.	1
2574	볼펜 뚜껑을 닫지 않았다.	결과	볼펜 잉크가 다 말랐다.	볼펜 잉크가 더 선명해졌다.	1
2575	여자의 방이 난장판이다.	원인	여자는 정리정돈을 잘 한다.	여자는 정리정돈을 못 한다.	2
2576	머리스타일이 마음에 들지 않아 남들에게 보여주고 싶지 않다.	결과	수염을 길렀다.	머리를 가리기 위해 모자를 썼다.	2
2577	노트북에 커피를 쏟았다.	결과	노트북이 고장났다.	노트북이 부서졌다.	1
2578	리무버로 눈을 지웠다.	원인	아이라이너 화장을 했다.	립스틱을 발랐다.	1
2579	여자는 그늘로 갔다.	원인	햇빛이 뜨거웠다.	택시를 불렀다.	1
2580	김밥이 말아지지 않는다.	원인	밥에 찰기가 없다.	밥에 찰기가 충분하다.	2
2581	그 남자가 비소를 마셨다.	결과	그 남자가 치료되었다.	그 남자가 죽었다.	2
2582	신발끈을 묶었다.	원인	신발끈이 더러워졌다.	신발끈이 풀렸다.	2
2583	남자가 홈런볼을 주웠다.	원인	선수가 홈런을 쳤다. 	선수가 안타를 쳤다.	1
2584	아이스크림 매출이 증가했다.	원인	기온이 높아졌다.	기온이 낮아졌다.	1
2585	팬들이 환호성을 질렀다.	원인	아이돌이 무대에서 춤을 추다가 넘어졌다.	아이돌이 무대에서 멋진 춤을 선보였다.	2
2586	여자가 전화를 받지 않았다.	원인	여자는 휴대폰을 무음모드로 설정해두었다.	여자는 휴대폰을 샀다.	1
2587	끓는 물에 달걀을 넣었다.	결과	달걀이 커졌다.	달걀이 익었다.	2
2588	남자는 매일 술을 마셨다.	결과	남자의 장기가 튼튼해졌다.	남자의 장기가 망가졌다.	2
2589	아침에 햇빛이 너무 심해서 잠에서 깼다.	결과	커튼을 친다.	창문을 연다.	1
2590	고무줄이 늘어났다.	원인	고무줄을 세게 잡아당겼다.	고무줄을 물에 넣었다.	1
2591	남성이 에어컨 리모컨을 찾는다.	원인	남성은 더위를 느낀다.	남성은 건전지를 교체했다.	1
2592	클래식 공연에 입장하는 중이다.	결과	직원에게 입장권을 보여준다.	직원에게서 입장권을 빼앗는다.	1
2593	떡에 콩고물을 묻혔다.	결과	인절미가 완성되었다.	시루떡이 완성되었다.	1
2594	남자는 시험에서 0점을 받았다.	원인	남자는 시험 공부를 열심히 했다.	남자는 시험에서 부정행위를 했다.	2
2595	개에게 물렸다.	결과	친구들과의 약속이 많아졌다.	병원에서 진찰을 받았다.	2
2596	손목에 향수를 뿌렸다.	원인	목덜미에서 향수 냄새가 난다.	손목에서 향수 냄새가 난다.	2
2597	자동차가 도로 갓길에 차를 세웠다. 	원인	자동차 바퀴가 터졌다.	신호등이 빨간색으로 바뀌었다.	1
2598	남자가 시계를 보았다.	결과	그는 약속장소가 바뀐 것을 알게 되었다.	그는 그가 빨리 도착했다는 것을 알게 되었다.	2
2599	껌을 오랫동안 씹었다.	결과	껌의 단맛이 다 빠졌다.	풍선껌을 불었다.	1
2600	여자는 승진을 했다.	원인	여자는 프로젝트를 성공적으로 마무리했다.	여자는 회사를 그만두었다.	1
2601	여자는 밤새도록 시험 공부를 했다.	결과	여자는 시험지에 손을 베였다.	여자는 시험에 합격했다.	2
2602	태양이 사라졌다.	원인	아침이 되었다.	밤이 되었다.	2
2603	개미를 돋보기로 관찰했다.	결과	개미가 작게 보인다.	개미가 크게 보인다.	2
2604	달이 사라졌다.	원인	아침이 되었다.	밤이 되었다.	1
2605	남자의 인대가 파열되었다.	원인	남자가 다리를 삐끗했다.	남자가 물을 마셨다.	1
2606	여자가 유니폼을 입었다.	원인	여자의 근무시간이 되었다.	여자의 퇴근시간이 되었다.	1
2607	창이 더러워졌다.	결과	비바람이 불었다.	창문을 닦는다.	2
2608	도시에 연구소가 세워졌다.	원인	도시가 미래 산업연구단지로 지정되었다.	도시가 개발제한구역으로 지정되었다.	1
2609	기차 예약을 취소했다.	원인	여행 일정이 변경되었다.	기차역에 도착했다.	1
2610	소년이 넘어졌다.	원인	소년의 신발끈이 풀렸다.	소년의 바지 지퍼가 열렸다.	1
2611	휴지로 핸드폰을 닦았다.	원인	핸드폰에 먼지가 묻었다.	 핸드폰이 깨끗한 상태이다.	1
2612	자판기에 동전을 넣었다.	결과	자판기에서 음료수가 나왔다.	자판기를 발로 걷어찼다.	1
2613	무지개가 떴다.	원인	날이 건조했다.	비가 잔뜩 내리다가 그쳤다.	2
2614	여자는 주말마다 절에 간다.	원인	여자는 불교 신자이다.	여자는 기독교 신자이다.	1
2615	요리사가 반죽에 구멍을 뚫었다.	원인	요리사는 수프를 끓이려고 한다.	요리사는 도넛을 만드려고 한다.	2
2616	남자가 회사로부터 징계를 받았다.	원인	남자가 회사의 기밀이 든 자료를 들고 넘어졌다.	남자가 회사의 기밀을 유출했다.	2
2617	전등 스위치가 고장났다.	결과	전등이 켜지지 않는다.	전등을 교체했다.	1
2618	물에 젖은 손으로 전기 코드를 만졌다.	결과	감전되었다.	정전되었다.	1
2619	아랫집에서 항의하러 올라왔다.	원인	윗집이 시끄럽게 뛰어다녔다.	윗집에서 선물을 주었다.	1
2620	여자가 3일 동안 우울해 하고 있다.	원인	여자는 우울증을 앓고 있다.	여자는 수족냉증을 앓고 있다.	1
2621	여자가 물티슈로 강아지의 똥꼬를 닦았다.	원인	강아지가 쉬를 쌌다.	강아지가 똥을 쌌다.	2
2622	제모를 했다.	결과	다리털이 풍성하다.	다리가 매끈해졌다.	2
2623	남자가 체포되었다.	원인	남자가 빵을 먹었다.	남자가 빵을 훔쳤다.	2
2624	여자는 땅콩을 먹고 온 몸에 두드러기가 났다.	원인	여자는 땅콩을 좋아한다.	여자는 땅콩 알레르기가 있다.	2
2625	선수는 티셔츠를 입었다.	원인	일기예보에서 오늘 날씨가 춥다고 했다.	일기예보에서 오늘 날씨가 덥다고 했다.	2
2626	밥에 고추장을 넣고 비볐다.	결과	밥의 색이 붉은색으로 변했다.	밥의 색이 검은색으로 변했다.	1
2627	여자가 옷장을 닫았다.	원인	옷장 문이 부서졌다.	옷장 문이 열려있다.	2
2628	통나무가 반으로 갈라졌다.	원인	통나무를 장작으로 썼다.	도끼로 통나무를 내리찍었다.	2
2629	배의 껍질을 깎았다.	결과	배의 표면이 갈색이다.	배의 표면이 흰색이다.	2
2630	여자는 밤에 잠을 자지 못한다.	원인	옆집이 매일 밤 시끄럽게 노래를 부른다.	옆집이 이사를 가서 빈 집이 되었다.	1
2631	지진이 발생했다.	결과	건물이 무너졌다.	건물이 완공되었다.	1
2632	넥타이를 매우 세게 졸라매었다.	결과	목이 편안하다.	목이 갑갑하다.	2
2633	여자는 뜨거운 커피를 마시고 싶다.	결과	여자가 주전자에 물을 끓인다.	여자가 뜨거운 물로 샤워를 한다. 	1
2634	끓인 콩을 우유와 함께 갈았다.	결과	두유가 만들어졌다.	주스가 만들어졌다.	1
2635	사서가 책을 서고에 정리했다.	원인	책이 대출되었다.	대출되었던 책이 반납되어 돌아왔다.	2
2636	스피커 볼륨을 올렸다.	결과	음악 소리가 작아졌다.	음악 소리가 커졌다.	2
2637	못 위를 망치로 여러번 두드렸다.	결과	못이 벽에 박혔다.	못이 벽에서 빠졌다.	1
2638	스페인에서 오랫동안 살고 있다.	결과	스페인어를 잘 하게 되었다.	프랑스어를 잘 하게 되었다.	1
2639	화산이 폭발했다.	원인	지각 운동이 활발하다.	산에 폭탄을 설치했다.	1
2640	여성은 기침 때문에 괴롭다.	결과	여성은 연고를 바른다.	여성은 목감기약을 먹는다.	2
2641	쓰레기통이 찼다.	결과	쓰레기통을 비웠다.	쓰레기통을 밀었다.	2
2642	농구공이 납작해졌다.	원인	농구공에 모래가 묻었다.	농구공에 바람이 빠졌다.	2
2643	경주로 화석 발굴대가 출발했다.	원인	경주에서 멸종위기 식물이 발견되었다.	경주에서 새로운 화석이 발견되었다.	2
2644	소고기를 불에 구웠다.	결과	고기는 갈색이 되었다.	고기는 붉은색이 되었다.	1
2645	껌을 씹다가 잠이 들었다.	결과	자고 일어나니 사탕이 머리에 붙어있다.	자고 일어나니 껌이 머리에 붙어있다.	2
2646	발에 물집이 생겼다.	원인	수영장에 수영하러 갔다.	하이힐을 하루종일 신고 있었다.	2
2647	빛이 강한 곳에 사진을 걸어두었다.	결과	사진의 색이 선명해졌다.	사진의 색이 바랬다.	2
2648	남자의 간이 망가졌다.	결과	남자가 간기증 수술을 했다.	남자가 간이식 수술을 받았다.	2
2649	남자는 텔레비젼 프로그램이 지루하다고 생각했다.	결과	남자는 텔레비젼을 껐다.	남자는 텔레비젼을 켰다.	1
2650	여자는 찬장 맨 위의 그릇을 꺼낼 수 있다.	원인	여자는 평균보다 키가 작다.	여자는 평균보다 키가 크다.	2
2651	따뜻한 커피를 보온병에 넣었다.	결과	커피가 따뜻했다.	커피가 식었다.	1
2652	후원한 곳에서 기부 감사 편지를 받았다.	원인	기부를 했다.	기부를 받았다.	1
2653	코미디 영화를 봤다.	결과	웃음이 나고 즐겁다.	불안하고 긴장된다.	1
2654	여자가 동생에게 휴지를 건넸다.	원인	여자의 동생이 울기 시작했다.	여자의 동생이 밥을 먹었다.	1
2655	여자의 동생이 울기 시작했다.	결과	여자는 앞에서 휴지를 접었다.	여자는 여동생한테 휴지를 건넸다.	2
2656	한약을 먹었다.	결과	아무 맛도 나지 않는다.	쓴맛이 난다.	2
2657	노트북에 스티커를 붙였다.	원인	귀여운 스티커를 샀다.	귀여운 인형을 샀다.	1
2658	여자의 입술에서 피가 난다.	원인	여자가 입술을 뜯었다.	여자가 등을 긁었다.	1
2659	소녀는 입양되었다.	결과	소녀에게는 가족이 없다.	소녀는 친부모와 살지 않는다.	2
2660	락스가 옷에 튀었다.	결과	옷의 색이 진해졌다.	옷의 색이 빠졌다.	2
2661	여성과 남성이 혼인신고를 했다.	원인	두 사람이 결혼을 했다.	두 사람이 이혼을 했다.	1
2662	헌 이불을 턴다.	결과	먼지가 날아다닌다.	나비가 날아다닌다.	1
2663	여자는 서류 내용을 지웠다.	원인	서류에 내용을 잘못 기입했다.	서류에 내용을 바르게 기입했다.	1
2664	주식을 싼 값에 매도했다.	결과	손해를 보았다.	이익을 얻었다.	1
2665	신발이 젖었다. 	원인	눈길을 오래 걸었다. 	눈이 아프다. 	1
2666	정수리에서 냄새가 난다.	원인	방금 머리를 감았다.	머리를 안 감은 지 사흘째다.	2
2667	큰 건물에 화재가 발생했다.	결과	소방차들이 출동했다.	누군가 담배꽁초를 함부로 버렸다.	1
2668	소녀는 오늘 떡국을 먹었다.	원인	오늘은 설날이다.	오늘은 하지다.	1
2669	땡볕 아래서 아이스크림을 먹었다.	결과	아이스크림의 맛이 변했다.	아이스크림이 녹았다.	2
2670	손에 잉크가 묻었다.	결과	손을 씻었다.	손을 움직였다.	1
2671	여자가 출산 휴가를 신청했다.	원인	여자의 출산이 임박했다.	여자가 임신했다.	1
2672	소녀는 어머니를 기쁘게 해드리고 싶었다.	결과	소녀는 쿠키를 먹었다.	소녀는 어머니를 위해 쿠키를 구웠다.	2
2673	수프의 맛이 밍밍하다.	결과	소금을 넣었다.	수프를 그대로 상에 올렸다.	1
2674	우유를 버렸다.	원인	우유가 상했다.	우유가 따뜻하게 데워졌다.	1
2675	남자는 현재 시간을 알지 못한다.	원인	남자는 시계를 집에 두고 나왔다.	남자는 시계를 손목에 찼다.	1
2676	거실에 있는 전화기가 울렸다.	결과	거실로 나갔다.	방으로 들어갔다.	1
2677	파란색 물감과 검은색 물감을 섞었다.	결과	물감이 하늘색이 되었다.	물감이 남색이 되었다.	2
2678	피부 각질을 제거했다.	결과	피부가 거칠어졌다.	피부가 매끈해졌다.	2
2679	옷에 향수를 뿌렸다.	결과	옷을 빨았다.	옷에서 향기가 난다.	2
2680	여자가 소방차를 불렀다.	원인	여자의 집에 강도가 들었다.	여자의 집에 불이 났다.	2
2681	헬멧을 착용한 오토바이 운전자에게 사고가 났다.	결과	머리를 다치지 않았다.	머리를 다쳤다.	1
2682	날씨가 너무 더워서 아스팔트가 뜨겁다.	결과	타이어가 녹았다.	타이어가 미끄러졌다.	1
2683	페트병에 뜨거운 물을 부었다.	결과	페트병이 녹았다.	페트병의 색깔이 변했다.	1
2684	휴대폰을 진동모드로 바꾸었다.	결과	전화가 오자 벨소리가 울린다.	전화가 오자 진동이 울린다.	2
2685	여성이 컴퓨터에 헤드폰을 연결했다.	결과	소리가 외부에서는 들리지 않는다.	소리가 외부에서도 잘 들린다.	1
2686	우산이 찢어졌다.	결과	우산이 크다.	우산 사이로 빗물이 샜다.	2
2687	상자에 짐을 담았다.	원인	이사 준비를 시작했다.	이사를 완료했다.	1
2688	말린 멸치를 끓는 물에 넣었다.	결과	멸치 볶음이 만들어졌다.	멸치 육수가 만들어졌다.	2
2689	사람들이 시위를 시작했다.	원인	사람들은 현재의 상황을 만족했다.	사람들은 현재의 상황을 거부했다.	2
2690	시합이 종료되었다.	결과	각 팀이 악수를 했다.	각 팀 선수들이 긴장하고 있다.	1
2691	여성은 감전되었다.	원인	여성이 젖은 손으로 콘센트에 플러그를 꽂았다.	안전하게 플러그를 꽂았다.	1
2692	귀걸이를 바꿔 끼었다.	원인	목걸이를 새로 구매했다.	귀걸이를 새로 구매했다.	2
2693	관객들이 박수를 쳤다.	원인	공연이 끝났다.	공연이 중단되었다.	1
2694	여자가 목을 움켜쥐었다.	원인	여자는 음식을 삼켰다.	여자의 목에 음식물이 걸렸다.	2
2695	여자가 염주를 샀다.	원인	여자는 기독교 신자이다.	여자는 불교 신자이다.	2
2696	소방관이 소방차를 타고 출동했다.	원인	산에 불이 났다.	도둑질 신고가 들어왔다.	1
2697	상자에 테이프를 붙였다.	결과	상자가 고정되었다.	상자가 망가졌다.	1
2698	고양이의 털이 엉켰다.	결과	고양이에게 사료를 주었다.	고양이의 털을 빗어주었다.	2
2699	천체 망원경으로 달을 관찰했다.	결과	달이 매우 조그맣게 보인다.	달이 매우 크고 자세히 보인다.	2
2700	소매치기에게 지갑을 도난당했다.	결과	경찰에 신고했다.	구급차를 불렀다.	1
2701	여자는 수영을 못한다.	결과	여자는 차키를 빌렸다.	여자는 튜브를 빌렸다.	2
2702	달력에 일정 표시를 해 두었다.	원인	다음주에 일정이 생겼다.	달력을 책상에 세워두었다.	1
